Centroid Latitude,Centroid Longitude,Name,Country Name,Closest Location Latitude,Closest Location Longitude
31.256588545312507,25.1948242203125,Kastri,Greece,"['34.8346', '24.08572']"
31.44942637764229,20.151968164227643,Palaiochora,Greece,"['35.23128', '23.68185']"
31.837121736526946,11.602436483233515,Lampedusa,Italy,"['35.50142', '12.60964']"
31.92934014444443,15.053406767049822,Birzebbuga,Malta,"['35.82583', '14.52694']"
32.32996422787882,13.188094696212127,Lampedusa,Italy,"['35.50142', '12.60964']"
32.67373057823833,21.92722222331606,Kastri,Greece,"['34.8346', '24.08572']"
33.408309784644196,10.479364620599263,Lampedusa,Italy,"['35.50142', '12.60964']"
34.11232444926686,8.73237573225809,Lampedusa,Italy,"['35.50142', '12.60964']"
35.162000663979434,25.723219936878216,Agios Nikolaos,Greece,"['35.19106', '25.71524']"
35.20714637804324,24.919806281569965,Krouson,Greece,"['35.23062', '24.98291']"
35.38560319903499,10.537871173703227,Pantelleria,Italy,"['36.82836', '11.94611']"
35.389725929055444,23.919919573203288,Galatas,Greece,"['35.49864', '23.96341']"
35.97661405633801,14.464195768388105,Pembroke,Malta,"['35.93056', '14.47639']"
36.0752271877256,9.0511186425993,Domus de Maria,Italy,"['38.94451', '8.8625']"
36.08243189230768,27.637849890865386,Chalki,Greece,"['36.22243', '27.61191']"
36.848068761061924,10.177667505162255,Pantelleria,Italy,"['36.82836', '11.94611']"
37.775381515662644,13.283534093975904,Campofiorito,Italy,"['37.75374', '13.26875']"
37.842223743519796,15.173760784447479,Piedimonte Etneo,Italy,"['37.80677', '15.17516']"
37.85364459991328,22.773831308759757,Ayios Vasilios,Greece,"['37.79763', '22.79727']"
38.263522424495406,23.857981650458715,Kalamos,Greece,"['38.28447', '23.86308']"
38.97314098086022,26.02635722860215,Polichnitos,Greece,"['39.07911', '26.18215']"
38.994682406468556,16.419813520979027,Serrastretta,Italy,"['39.01319', '16.4163']"
39.207770611380894,22.595584009028833,Evxinoupolis,Greece,"['39.18414', '22.73831']"
39.77464440862386,20.08794903100917,Livadhja,Albania,"['39.78917', '20.12194']"
39.95177987045123,8.945022234352267,Samugheo,Italy,"['39.94854', '8.94152']"
40.3389843640625,15.823828093749995,Villa d'Agri,Italy,"['40.35426', '15.8277']"
40.344223123187014,20.347742127051525,Frasher,Albania,"['40.36889', '20.42444']"
40.35950858274853,17.836414079824564,San Pancrazio Salentino,Italy,"['40.418', '17.83419']"
40.57760804181469,22.268480154251268,Diavatos,Greece,"['40.54606', '22.26686']"
40.683749292441256,23.29430881419816,Gerakarou,Greece,"['40.62666', '23.21566']"
40.70220619238799,19.728929129650073,Kurjan,Albania,"['40.7175', '19.74556']"
40.953804843251326,20.381129370296037,Stravaj,Albania,"['41.00528', '20.42306']"
41.09907277051459,14.702480273991652,Apollosa,Italy,"['41.09156', '14.69625']"
41.32822371787187,19.78344630110194,Paskuqan,Albania,"['41.35389', '19.80667']"
41.4193195708636,25.84860303890234,Krumovgrad,Bulgaria,"['41.47127', '25.65485']"
41.819540410691,14.016281689700115,Roccaraso,Italy,"['41.84872', '14.07846']"
42.01573081283422,12.835516937165771,San Polo dei Cavalieri,Italy,"['42.01037', '12.83989']"
42.11461780616302,9.16969810834991,Prunelli-di-Fiumorbo,France,"['42.01047', '9.32473']"
42.30346461446312,24.394110664791825,Pazardzhik,Bulgaria,"['42.2', '24.33333']"
42.51175096830443,19.000042679816953,Cetinje,Montenegro,"['42.39063', '18.91417']"
42.721981964220774,23.25576533409091,Bozhurishte,Bulgaria,"['42.76305', '23.19733']"
42.84478233930859,12.187779206145958,Parrano,Italy,"['42.86624', '12.11026']"
42.928575614096914,13.33597650220265,Montefortino,Italy,"['42.94351', '13.34417']"
43.14244421731813,19.71509922600436,Sokolovo Brdo,Serbia,"['43.13694', '19.80556']"
43.263650449964004,0.5454759013679151,Boulogne-sur-Gesse,France,"['43.28825', '0.64797']"
43.264083830383655,26.266283887723777,Popovo,Bulgaria,"['43.35', '26.23333']"
43.33160822828428,21.443653379755922,Blace,Serbia,"['43.29528', '21.28583']"
43.350857311089314,10.941696647693835,Pomarance,Italy,"['43.29592', '10.87223']"
43.525455973913054,-0.5626221417391264,Arthez-de-Bearn,France,"['43.46455', '-0.61535']"
43.56016519272977,20.524367871742115,Kraljevo,Serbia,"['43.72583', '20.68944']"
43.60988101885056,18.992064178850576,Gorazde,Bosnia and Herzegovina,"['43.66795', '18.97564']"
43.776472518059855,6.443589837977303,Castellane,France,"['43.84707', '6.51283']"
43.77777490649926,16.546673231757758,Hrvace,Croatia,"['43.76333', '16.615']"
43.78030722943221,1.6763457091541198,Saint-Sulpice-la-Pointe,France,"['43.775', '1.68511']"
43.84713381015228,5.267967087309621,Goult,France,"['43.86297', '5.2439']"
43.96643915480274,18.199718291552315,Visoko,Bosnia and Herzegovina,"['43.98889', '18.17806']"
43.996934874000004,12.251754313444438,Sogliano al Rubicone,Italy,"['44.005', '12.30122']"
44.109362728818056,7.635732128818082,Tende,France,"['44.08752', '7.59366']"
44.12229020720719,4.0598116146146275,Ales,France,"['44.12489', '4.08082']"
44.43258822716895,10.229063264840166,Palanzano,Italy,"['44.43629', '10.194']"
44.572477958863864,11.273930778648367,Calderara di Reno,Italy,"['44.56307', '11.27111']"
44.689676157795574,26.02595003956665,Peris,Romania,"['44.68472', '26.01389']"
44.73524306212576,5.809711742514992,Mens,France,"['44.81557', '5.75146']"
44.73694912877939,21.496672238521835,Veliko Gradiste,Serbia,"['44.76329', '21.51646']"
44.76456714909478,9.21822914057508,Santa Margherita di Staffora,Italy,"['44.77154', '9.24006']"
44.77081625471698,24.1020508654635,Gusoeni,Romania,"['44.73333', '24.11667']"
44.80567730005906,23.07045300945068,Matasari,Romania,"['44.85', '23.08333']"
44.897897477758015,-0.38088261832740855,Saint-Sulpice,France,"['44.91272', '-0.39576']"
44.931380467921755,16.777536266797068,Prijedor,Bosnia and Herzegovina,"['44.97991', '16.71401']"
44.99972452885743,17.890344781445304,Lug,Bosnia and Herzegovina,"['44.98715', '17.87088']"
